id,objek,nama,letak,kecamatan,kabupaten,kode_pos,potensi,image_url
138,Danau,Danau Mantasik,,,Malaka,,,https://i.imgur.com/ol0YuH8.jpeg
139,Danau,Danau Sano Nggoang,Wae Sano,,Manggarai Barat,,"Danau Vulkanik, Tracking &
Hiking",https://i.imgur.com/sVZvc9f.jpeg
140,Danau,Danau Laut Mati,Sotimori,,Rote Ndao,,"Panorama alam, Lokasi pemancingan ikan air tawar, Olahraga air",https://i.imgur.com/s1SJdBF.jpeg
141,Danau,Mulut Seribu,,Landu Leko,Rote Ndao,,,https://i.imgur.com/0NSVzFY.jpeg
142,Danau,Telaga Nirwana,Oeseli,Rote Barat Daya,Rote Ndao,,,https://i.imgur.com/m8H6fGv.jpeg
143,Danau,Danau Wee Kuri,Kalenarongo,Kodi Utara,Sumba Barat Daya,,,https://i.imgur.com/R4TKgUr.jpeg
144,Danau,Danau Wee Wini,Kalaki Kambe,Wewewa Barat,Sumba Barat Daya,,,https://i.imgur.com/n35sg4G.jpeg
145,Danau,Danau Supul,Supul,Kuatnana,Timor Tengah Selatan,,Kolam pemancingan ikan air tawar,https://i.imgur.com/GF8UOpI.jpeg
146,Hutan,Hutan Kenari,Nailang,Alor Timur Laut,Alor,,"Pepohonan kenari dan pepohonan lainnya, kicauan burung",https://i.imgur.com/5LodGBV.jpeg
147,Hutan,Penangkaran Rusa,Enoraen,Fatuleu,Kabupaten Kupang,,Berjenis?jenis rusa timor dan satwa liar yang dilindungi,https://i.imgur.com/YGBXvFO.jpeg
148,Hutan,Hutan Ine Mbele,"Iteng, Desa Paka",Satar Mese,Manggarai,,"Hutan lindung˜˜di pinggir˜˜ pantai dg berbagai jenis Pohon Besar yg berumur ratusan tahun, memiliki fauna yg menakjubkan diantaranya: Ular, kera, lebah madu dan ribuan kalong",https://i.imgur.com/KZhJ0K8.jpeg
149,Air Terjun,Air Terjun Alila,Desa Alila,Kec. Alor Barat Laut,Alor,,Air Terjun dengan ketinggian ¤ 15 meter,https://i.imgur.com/7TSRvka.jpeg
150,Air Terjun,Air Terjun WE RO,Desa Kenebibi,Kakuluk Mesak,Belu,,,https://i.imgur.com/Bqf6SE6.jpeg
151,Air Terjun,Air Terjun Slata Mauhalek,Desa Raiulun,Lasiolat,Belu,,,https://i.imgur.com/4taPuUJ.jpeg
152,Air Terjun,Air Terjun Uluktil,Aitoun,Raihat,Belu,,,https://i.imgur.com/YMHIdhZ.jpeg
153,Air Terjun,Air Terjun Muru Nawe,Detuwulu,Maurole,Ende,,,https://i.imgur.com/pJQqrlE.jpeg
